Epoch,Time (milliseconds)
1,0.226544
51,0.188082
101,0.201377
151,0.218808
201,0.224896
251,0.265576
301,0.234946
351,0.235178
401,0.256897
451,0.196182
501,0.161761
551,0.162335
601,0.147550
651,0.271022
701,0.185077
751,0.308501
801,0.167156
851,0.184467
901,0.206752
951,0.209218
