Epoch,Time (milliseconds)
1,0.9161
51,1.1368
101,1.1711
151,1.0502
201,1.0646
251,0.9414
301,1.1086
351,1.1353
401,1.1505
451,1.0679
501,1.1836
551,1.1242
601,1.1762
651,1.1643
701,1.1123
751,1.1087
801,1.117
851,1.116
901,1.1044
951,1.1319
