Epoch,Time (seconds),Cost,Time (milliseconds)
1,0.00128837585449214,0.6918584141651013,1.28837585449214
51,0.0014474201202392062,0.6391152980817023,1.4474201202392063
101,0.001573004722595166,0.6031869313372018,1.573004722595166
151,0.0014169692993163641,0.5777345758804321,1.416969299316364
201,0.0014201688766478978,0.5590070859154376,1.4201688766478977
251,0.0013419246673583502,0.5447691742396629,1.3419246673583503
301,0.00155870914459224,0.5336462442230064,1.55870914459224
351,0.001476860046386674,0.524760644782679,1.476860046386674
401,0.001383385658264116,0.5175310369505558,1.383385658264116
451,0.00139454364776607,0.51155913910653,1.39454364776607
501,0.0014250612258910659,0.5065637130226089,1.4250612258910658
551,0.001339039802551226,0.5023407777160165,1.339039802551226
601,0.00137459278106685,0.4987388495038009,1.3745927810668501
651,0.0013698005676269043,0.4956430669703627,1.3698005676269043
701,0.001465196609497024,0.4929647297087846,1.4651966094970241
751,0.001403989791870064,0.4906342292846055,1.403989791870064
801,0.001422448158264114,0.4885961613066173,1.422448158264114
851,0.00142765522003169,0.4868058736656663,1.42765522003169
901,0.0015979480743407721,0.4852269814373816,1.5979480743407721
951,0.001686568260192824,0.4838295457920951,1.686568260192824
1001,0.0014123344421386262,0.4825887176885138,1.4123344421386261
1051,0.001414713859558058,0.48148371263822,1.414713859558058
1101,0.001475796699523868,0.4804970251545415,1.475796699523868
1151,0.001456909179687452,0.4796138193591996,1.4569091796874518
1201,0.001615228652954058,0.4788214508793833,1.615228652954058
1251,0.0015839099884032697,0.4781090878706291,1.5839099884032697
1301,0.0016131782531737763,0.4774674077825934,1.6131782531737762
1351,0.001401653289794872,0.4768883526445109,1.401653289794872
1401,0.0013671922683715298,0.4763649300274873,1.3671922683715299
1451,0.0014606904983520022,0.4758910499963866,1.4606904983520022
1501,0.0016002798080443882,0.4754613906655428,1.600279808044388
1551,0.001561121940612748,0.4750712866706012,1.5611219406127481
1601,0.001421179771423286,0.4747166361354759,1.4211797714232859
1651,0.001443638801574666,0.4743938226681274,1.443638801574666
1701,0.001442008018493602,0.4740996496454337,1.4420080184936022
1751,0.001524076461791944,0.4738312846054676,1.524076461791944
1801,0.0016883897781371582,0.4735862119977789,1.6883897781371582
1851,0.001502485275268504,0.4733621928798175,1.502485275268504
1901,0.0013589000701903801,0.4731572304131994,1.3589000701903802
1951,0.001484241485595656,0.4729695402239171,1.484241485595656
